customerID,gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,2,29.85,29.85,0
5575-GNVDE,1,0,0,0,34,1,0,1,1,0,1,0,0,0,1,0,3,56.95,1889.5,0
3668-QPYBK,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,3,53.85,108.15,1
7795-CFOCW,1,0,0,0,45,0,0,1,1,0,1,1,0,0,1,0,0,42.3,1840.75,0
9237-HQITU,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,2,70.7,151.65,1
9305-CDSKC,0,0,0,0,8,1,1,2,0,0,1,0,1,1,0,1,2,99.65,820.5,1
1452-KIOVK,1,0,0,1,22,1,1,2,0,1,0,0,1,0,0,1,1,89.1,1949.4,0
6713-OKOMC,0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,3,29.75,301.9,0
7892-POOKP,0,0,1,0,28,1,1,2,0,0,1,1,1,1,0,1,2,104.8,3046.05,1
6388-TABGU,1,0,0,1,62,1,0,1,1,1,0,0,0,0,1,0,0,56.15,3487.95,0
9763-GRSKD,1,0,1,1,13,1,0,1,1,0,0,0,0,0,0,1,3,49.95,587.45,0
7469-LKBCI,1,0,0,0,16,1,0,0,2,2,2,2,2,2,2,0,1,18.95,326.8,0
8091-TTVAX,1,0,1,0,58,1,1,2,0,0,1,0,1,1,1,0,1,100.35,5681.1,0
0280-XJGEX,1,0,0,0,49,1,1,2,0,1,1,0,1,1,0,1,0,103.7,5036.3,1
5129-JLPIS,1,0,0,0,25,1,0,2,1,0,1,1,1,1,0,1,2,105.5,2686.05,0
3655-SNQYZ,0,0,1,1,69,1,1,2,1,1,1,1,1,1,2,0,1,113.25,7895.15,0
8191-XWSZG,0,0,0,0,52,1,0,0,2,2,2,2,2,2,1,0,3,20.65,1022.95,0
9959-WOFKT,1,0,0,1,71,1,1,2,1,0,1,0,1,1,2,0,0,106.7,7382.25,0
4190-MFLUW,0,0,1,1,10,1,0,1,0,0,1,1,0,0,0,0,1,55.2,528.35,1
4183-MYFRB,0,0,0,0,21,1,0,2,0,1,1,0,0,1,0,1,2,90.05,1862.9,0
8779-QRDMV,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,2,39.65,39.65,1
1680-VDCWW,1,0,1,0,12,1,0,0,2,2,2,2,2,2,1,0,0,19.8,202.25,0
1066-JKSGK,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,3,20.15,20.15,1
3638-WEABW,0,0,1,0,58,1,1,1,0,1,0,1,0,0,2,1,1,59.9,3505.1,0
6322-HRPFA,1,0,1,1,49,1,0,1,1,1,0,1,0,0,0,0,1,59.6,2970.3,0
6865-JZNKO,0,0,0,0,30,1,0,1,1,1,0,0,0,0,0,1,0,55.3,1530.6,0
6467-CHFZW,1,0,1,1,47,1,1,2,0,1,0,0,1,1,0,1,2,99.35,4749.15,1
8665-UTDHZ,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,2,30.2,30.2,1
5248-YGIJN,1,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,1,90.25,6369.45,0
8773-HHUOZ,0,0,0,1,17,1,0,1,0,0,0,0,1,1,0,1,3,64.7,1093.1,1
3841-NFECX,0,1,1,0,71,1,1,2,1,1,1,1,0,0,2,1,1,96.35,6766.95,0
4929-XIHVW,1,1,1,0,2,1,0,2,0,0,1,0,1,1,0,1,1,95.5,181.65,0
6827-IEAUQ,0,0,1,1,27,1,0,1,1,1,1,1,0,0,1,0,3,66.15,1874.45,0
7310-EGVHZ,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,0,20.2,20.2,0
3413-BMNZE,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,45.25,45.25,0
6234-RAAPL,0,0,1,1,72,1,1,2,1,1,0,1,1,0,2,0,0,99.9,7251.7,0
6047-YHPVI,1,0,0,0,5,1,0,2,0,0,0,0,0,0,0,1,2,69.7,316.9,1
